id,text
"178","Each gift certificate must be at least {0}"
"179","The total value of this gift certificate purchase must be less than {0}. (Quantity x Amount)"
"180","The Quantity and total # of email addresses must be the same. (You entered a quantity of {0}, and {1} email addresses.)"
"181","Select the amount of each gift certificate:"
"182","<b>OR</b> enter your own amount here:"
"183","To:"
"184","From:"
"185","Message:"
"186","(Max. {0} characters, about {1} words)"
"187","Email Addresses of Recipients: <br> (separate by commas)"
"188","Save Changes to My Gift Certificate"
"189","Add Gift Certificates to My Shopping Cart"
"190","<b>Print Gift Certificates</b>"
"191","<b>Email Gift Certificates</b>"
"192","How would you like to send your gift certificate?"
"193","<b>Email:</b><ul><li type=""circle"">Delivered in 1-2 business days</li><li type=""circle"">Send gift certificates to <i>multiple addresses</i> all at once</li></ul><a href=""{0}"">SEND VIA EMAIL</a>"
"194","<b>Print:</b><ul><li type=""circle"">Delivered in 3-7 business days</li><li type=""circle"">Send multiple gift certificates to the <i>same address</i> all at once</li></ul><a href=""{0}"">SEND VIA PRINT</a>"
"195","The following gift note beginning with ""{0}..."" has been truncated to the maximum 255 characters. Please review it below."
"196","ERROR: You typed a gift note below, but you did not check the box indicating that your shipment is a gift."
"197","ERROR: You added gift wrap to your order, but you did not check the box indicating that your shipment is a gift."
"198","Are your items a gift?"
"199","<b> Yes, my items are a gift</b>, do not print prices on the packing slip. (No additional cost)"
"200","Continue"
"201","Product Description"
"202","Gift Note"
"203","Product Code"
"204","Type:"
"205","Email Addresses"
"206","<b>Enter your <FONT class=""pricecolor colors_productprice"">FREE</font> gift note:</b> (optional)<br> (About 5 lines of text, be sure to include ""To"" and ""From"".)"
"207","Enter your gift note: (optional)"
"208","<font color=""#999999"">Sorry, Gift Wrap not available for this item.</font>"
"209","Add Gift Wrap"
"210","(Article not found.)"
"211","Return to Help Index"
"212","Item Details"
"213","Item Name"
"214","Item Price"
"215","Options"
"216","<b>Credit / Debit Card Verification Number</b>"
"217","Better Price you requested..."
"218","Close Window"
"219","Submit"
"220","<font style=""font-size: 18px;"">No Results Were Found</font><br /><br /><a href=""{0}"">Click here</a> and search for what you are looking for"
"221","Please Select"
"222","Last Updated: {0}"
"223","Attachments"
"224","Was this article helpful?"
"225","(Best)"
"226","(Average)"
"227","(Worst)"
"228","Comments"
"229","Related Articles"
"230","Knowledge Base"
"231","All"
"232","Private Article"
"233","Your feedback is highly appreciated, thank you."
"234","Tags"
"235","View all Knowledge Base articles"
"236","TOP 5 MOST HELPFUL ARTICLES"
"237","NEWEST/RECENTLY UPDATED ARTICLES"
"238","Knowledge Base Category {0} does not exist."
"239","You are here: "
"240","Search for "
"241","Looking for more results? To perform an extensive search <a href=""{0}"">click here</a>."
"242","<font face='Arial' size='2'><b>Choose a sub category:</b></font>"
"243","You are here: <a href=""kb_results.asp"">Knowledge Base</a>"
"244","<font face='Arial' size='2'><b>Page {0} of {1}  </b></font>"
"245","Find by {0}"
"246","Incorrect Email / Password Entered."
"247","Please type your password below if you are an existing customer."
"248","Please type your e-mail address below."
"249","We're sorry, your account has been disabled for your security due to too many failed login attempts. Please contact customer service for assistance, or return after 24 hours and try again."
"250","The password you typed is invalid. Please type the password again."
"251","Your account has been cancelled. Please contact customer service if you wish to re-activate your account."
"252","Your account is pending activation. Please allow time for your account to be activated by our staff. Thank you."
"253","If for any reason you cannot proceed past this page, please call us for quick & easy assistance. Thank you."
"254","Sorry, the email address or password you typed is invalid. Please try again."
"255","You are now logged out."
"256","<font size=""3"" class=""colors_productname""><b>Returning Customers</b></font>"
"257","Password"
"258","Forgot your password?"
"259","Please login to access your account."
"260","The order you were trying to access does not exist."
"261","Order updated successfully."
"262","This order is already {0} (FREE!). You do not need to apply a gift certificate to this order."
"263","The value of this gift card has been applied to your account and will be automatically used on any future purchases you make."
"264","(Payment method no longer available.)"
"265","(Shipping method no longer available.)"
"266","Return to My Account"
"267","Click here to download the files you've purchased."
"268","Order#"
"269","<b>Order Placed:</b> {0} at {1} PST"
"270","Order Status"
"271","Shipped"
"272","New"
"273","Pending"
"274","Processing"
"275","Payment Declined"
"276","Awaiting Payment"
"277","Ready To Ship"
"278","Pending Shipment"
"279","Partially Shipped"
"280","Partially Backordered"
"281","Backordered"
"282","See Line Items"
"283","See Order Notes"
"284","Partially Returned"
"285","Returned"
"286","Cancelled"
"287","Your items shipped on {0} via {1}"
"288","TRACK YOUR PACKAGE"
"289","Shipping Speed"
"290","Items Ordered"
"291","Status"
"292","{0} of : {1}"
"293","Send To:"
"294","{0} of {1} Shipped"
"295","Payment Information"
"296","(""Bill To"" must match ""Ship To"" address)"
"297","Payment"
"298","{0} of GiftCard was used."
"299","{0} billed to:"
"300","You've paid <b>{0}</b> of <b>{1}</b>."
"301","Pay via PayPal"
"302","Thank you."
"303","Order Summary"
"304","Product Subtotal"
"305","Cannot place order. Customer ID {0} does not exist."
"306","Discounts"
"307","Gift Certificates"
"308","Grand Total"
"309","<b>Want to use a gift certificate?</b><br>Enter your gift certificate code here, then click &quot;Apply&quot;"
"310","<b>NOTE:</b> This order has already shipped or has reached the final stages of processing. Therefore this order is no longer editable."
"311","Looking for the order confirmation page that was displayed after checkout? <a href=""{0}"">Click here to view it again.</a>"
"312","For your security, you must login to your account if you wish to view an invoice. Thank you."
"313","click here to view / print a copy of your receipt."
"314","YOUR DOWNLOADS..."
"315","Click on the filename to begin downloading."
"316","[OrderDetailID {0} - File named ""{1}"" not found.]"
"317","<b>Don't see what you're looking for?</b>"
"318","Orders placed in the past 1 month"
"319","Orders placed in the past {0} months"
"320","Orders placed in {0}"
"321","Shipping to"
"322","Order date"
"323","Download File(s) >>>"
"324","No orders match your search."
"325","Return to Product Details Page"
"326","<b>Click on one of the photos below for a larger view...</b>"
"327","Home"
"328","Stock Status"
"329",""
"330","In Stock"
"331",""
"332","Email me when Back-In-Stock"
"333","Item Name <span class=""product_code_title"">(Item#)</span>"
"334","List Price"
"335","Price"
"336","<span style=""color:#B40404"">Sale Price</span>"
"337","Add"
"338","The email address you typed ({0}) has not been registered with us yet. <a href=""login.asp"">Click here to register</a>."
"339","Your password..."
"340","As you requested, here is your password:"
"341",""
"342","Please enter the email address you use to sign in to your account."
"343",""
"344",""
"345",""
"346",""
"347","Error: Order details unavailable. Please try again."
"348","The e-mail address you entered is already in our database of subscribers. Thank you for your interest."
"349","Thank You! You have been added to our database of e-mail subscribers."
"350","Add me to the mailing list"
"351","Your e-mail address has been removed from our Mailing List."
"352","Remove me from the mailing list"
"353","To access your account, please enter your e-mail address and password below."
"354","<b>Welcome to your account {0}.</b> You may use this page to manage your orders, payments, and other information, all in one place."
"355","<font size=2><b>My Orders</b></font>"
"356","Review orders / track packages"
"357","Change quantities / cancel orders"
"358","Change shipping address"
"359","Print invoices"
"360","Change billing address"
"361","Return items"
"362","<font size=2><b>Personal Information</b></font>"
"363","Change e-mail address, or password"
"364","Manage your billing addresses"
"365","Change my e-mail preferences"
"366","Manage your shipping addresses"
"367","Edit or delete a credit / debit card"
"368","View gift certificate balance"
