id,text
"769","This item has a minimum order requirement of {0} and available stock for the kit item is not sufficient to meet that requirement: {1}"
"770","{0} day"
"771","{0} days"
"773","Thank you for visiting {0}!"
"774","https://www.fedex.com/fedextrack/?trknbr={0}"
"775","http://auspost.com.au/track/track.html?id={0}"
"776","http://www.canadapost.ca/cpotools/apps/track/personal/findByTrackNumber?trackingNumber={0}"
"777","http://www.dhl.com/content/g0/en/express/tracking.shtml?brand=DHL&AWB={0}%0D%0A"
"778","http://www.royalmail.com/portal/rm/track?trackNumber={0}"
"779","recalculating..."
"780","You are {0} from qualifying for free shipping.<br />Look for this icon on qualifying products:{1} "
"781","remove item"
"782","N/A"
"783","Compare"
"784","Change Selections"
"785","You've attempted to select more than {0} items. Click {1} to continue with your initial {0} items or {2} to change your selections."
"786","You must review at least one product."
"787","(All other items have been added to the cart)"
"788","My commission"
"789","Poor"
"790","Fair"
"791","Average"
"792","Good"
"793","Excellent"
"794","Email A Friend only supports a single email address at a time. Please change your entry to include only a single email address."
"795","http://wwwapps.ups.com/WebTracking/processInputRequest?sort_by=status&tracknums_displayed=1&TypeOfInquiryNumber=T&loc=en_US&InquiryNumber1={0}&track.x=0&track.y=0"
"796","https://tools.usps.com/go/TrackConfirmAction?tLabels&origTrackNum={0}"
"797","{0} Inc VAT"
"798","{0} Exc VAT"
"799","{0} ({1} exc VAT)"
"800","{0} ({1} inc VAT)"
"801","{0} Inc GST"
"802","{0} Exc GST"
"803","{0} ({1} exc GST)"
"804","{0} ({1} inc GST)"
"805","Videos"
"806","There is no active Deal of the Day"
"807","Sorry, the deal you are looking for has ended."
"808","Deal not found"
"809","Check out our available Deal of the Day below!"
"810","Buy"
"811","Sold Out"
"812","Deal expires on {0}"
"813","Regular Price"
"814","Savings"
"815","Stock"
"816","Deal of the Day Price"
"817","Deal of the Day"
"818","Credit Card"
"819","Product Comparison"
"820","remove all items"
"821","Search Within"
"822","Compare"
"823","Also In Category"
"824","Product Description"
"825","Available Stock"
"826","Reward Points"
"827","Customer Reviews"
"828","Free Shipping"
"829","Password Assistance"
"830","Please enter the text from the image in the box below."
"831","In order to verify your identity, we've sent an email to you at {0} with instructions on resetting your password."
"832","Reset your password"
"833","Invalid Request"
"834","The URL to reset your password was only valid for 24 hours. To begin the Password Assistance process again, <a href=""/Login_sendpass.asp"" target=""_self"">click here</a>. "
"835","Your password has been changed."
"836","Email"
"837","Reset Password"
"838","For your security, your new administrator password must be a password that you have NOT used in the past."
"839","Your administrator password must be between 8 and 20 characters and contain at least one of each of the following: an uppercase letter, a lowercase letter, a number and a special character."
"840","Create Password"
"841","Retype Password"
"842","Added to cart"
"843","Subtotal"
"844","items in cart"
"845","January"
"846","February"
"847","March"
"848","April"
"849","May"
"850","June"
"851","July"
"852","August"
"853","September"
"854","October"
"855","November"
"856","December"
"857","Search"
"858","Credit / Debit Card Issue Month"
"859","Credit / Debit Card Issue Year"
"860","An error occurred while trying to process this transaction. Please try again. If this error persists, please contact us."
"861","You did not enter the required name, phone and email information. Please check and retry. If this error persists, please contact us."
"862","The billing address you entered was invalid. Please check and retry. If this error persists, please contact us."
"863","An error occurred involving your contact or address information. Please check and retry. If this error persists, please contact us."
"864","The card information you entered may be invalid. Please check and retry. If this error persists, please contact us."
"865","There may have been an error in the credit card information you supplied. Please check and retry. If this error persists, please contact us."
"866","There was an error in the credit card information you supplied. Please check and retry. If this error persists, please contact us. 
"
"867","There was an error in the credit card information you supplied. Please check that your card type is supported, and if so, retry. If this error persists, please contact us."
"868","Your session was unexpectedly lost. Please login to complete checkout."
"869","<b>Paypal&copy; Express Checkout unavailable</b><br />Paypal checkout is unavailable for products with recurring billing."
"870","Success! Check your email to continue.  If you have any more trouble, please contact customer service."
"871","Returning Customer? <a id=""headerLoginLink"" href=""javascript:void(0);"">Sign in</a>"
"872","Returning Customer?"
"873","Sign in below for a faster checkout."
"874","Forgot your password?"
"875","Forgot your password?"
"876","Enter your email address below to recover your password."
"877","Email"
"878","Password"
"879","Cancel"
"880","Sign In"
"881","Continue"
"882","Close"
"883","The coupon entered can be used one time only and has already been redeemed."
"884","Billing information managed by Amazon."
"885","<b>Amazon Pay is unavailable</b><br />Amazon Pay is unavailable for products with recurring billing."
"886","Change payment method/log out of Amazon Pay."
"887","More Info &rsaquo;"
"888","Relevance"
"892","Please enter the verification code below to join our mailing list."
"893","Please complete the reCAPTCHA below to join our mailing list."
"894","Please confirm your email address below."
"895","Type Above Code"
"900","This item cannot be shipped."
"901","Your cart contains one or more items which cannot be shipped."
"902","Shippable"
"903","A matching order could not be found for this ID."
"904","To complete payment with PayPal, click the PayPal Checkout button and follow the prompts provided. You will have a chance to review this page again before placing your order."
"905","To complete payment with PayPal, select your preferred service and follow the prompts provided. You will have a chance to review this page again before placing your order."
"906","Your back in stock email request has been processed."
"907","Price with Selected Options"
"908","Photo"
"909","This product qualifies for FREE SHIPPING!"
"910","The email address you've typed already has an account. Please type a different e-mail address or <a href=""{0}"" name=""login_link"">click here</a> to go back and login."
